f/Hz	Re{Y}/µS	Im{Y}/µS	Re{Z}/mOhm	Im{Z}/mOhm
921000	31	-3799	2115	263179
931000	32	-3760	2251	265916
941000	34	-3707	2480	269771
951000	27	-3673	2022	272269
961000	31	-3634	2356	275144
971000	28	-3593	2139	278280
981000	38	-3559	2970	280949
991000	34	-3524	2716	283760
1001000	32	-3486	2674	286866
1011000	29	-3459	2425	289078
1021000	31	-3414	2645	292906
1031000	31	-3386	2682	295311
1041000	21	-3349	1870	298601
1051000	30	-3319	2765	301284
1061000	31	-3289	2892	304019
1071000	29	-3252	2757	307460
1081000	24	-3219	2339	310675
1091000	28	-3194	2783	313040
1101000	20	-3161	2024	316294
1111000	23	-3130	2393	319465
1121000	31	-3104	3169	322186
1131000	24	-3078	2547	324874
1141000	25	-3051	2690	327699
1151000	24	-3022	2680	330871
1161000	34	-2997	3807	333636
1171000	25	-2959	2852	337975
1181000	21	-2938	2475	340369
1191000	25	-2915	2894	343063
1201000	26	-2896	3071	345300
1211000	20	-2871	2396	348352
1221000	20	-2837	2521	352458
1231000	24	-2819	3056	354771
1241000	19	-2799	2464	357203
1251000	18	-2774	2353	360428
1261000	22	-2749	2856	363792
1271000	21	-2728	2784	366532
1281000	25	-2704	3431	369778
1291000	20	-2682	2740	372892
1301000	18	-2665	2505	375167
1311000	17	-2644	2474	378175
1321000	21	-2626	3072	380801
1331000	14	-2600	2073	384565
1341000	17	-2581	2583	387498
1351000	24	-2557	3653	391103
1361000	22	-2538	3487	393971
1371000	23	-2528	3576	395597
1381000	17	-2503	2650	399482
1391000	21	-2483	3348	402701
1401000	12	-2460	2059	406512
1411000	20	-2444	3408	409081
1421000	25	-2429	4229	411717
1431000	17	-2407	2926	415493
1441000	13	-2394	2313	417770
1451000	18	-2381	3164	419982
1461000	18	-2363	3171	423112
1471000	19	-2348	3416	425943
1481000	18	-2334	3269	428459
1491000	18	-2309	3318	433117
1501000	20	-2291	3795	436419
1511000	16	-2275	3185	439596
1521000	14	-2261	2781	442171
1531000	13	-2252	2603	444052
1541000	14	-2236	2752	447120
1551000	12	-2211	2376	452302
1561000	12	-2197	2387	455074
1571000	17	-2181	3532	458374
1581000	17	-2160	3726	462895
1591000	17	-2150	3764	465000
1601000	20	-2144	4240	466275
1611000	18	-2129	3945	469757
1621000	14	-2111	3185	473717
1631000	15	-2099	3507	476330
1641000	10	-2085	2233	479531
1651000	6	-2072	1458	482695
1661000	10	-2061	2431	485239
1671000	18	-2047	4276	488516
1681000	18	-2030	4349	492609
1691000	13	-2016	3160	496131
1701000	11	-2006	2739	498580
1711000	13	-1997	3241	500852
